Timestamp,Energy Price ($/kWh),Renewable Availability (%),Workload Energy Consumption (kWh),Emission Factor (kg CO2/kWh),Renewable Emission Factor (kg CO2/kWh)
2024-01-04 06:00:00,0.1451,19.74,976.73,0.5,0.02
2024-01-04 07:00:00,0.1475,37.07,919.46,0.5,0.02
2024-01-04 08:00:00,0.1446,54.47,1071.87,0.5,0.02
2024-01-04 09:00:00,0.1553,70.81,1065.14,0.5,0.02
2024-01-04 10:00:00,0.143,88.24,1044.36,0.5,0.02
2024-01-04 11:00:00,0.1517,90.86,1075.89,0.5,0.02
2024-01-04 12:00:00,0.1996,94.3,1116.32,0.5,0.02
2024-01-04 13:00:00,0.205,85.64,986.33,0.5,0.02
2024-01-04 14:00:00,0.1943,76.8,1199.83,0.5,0.02
2024-01-04 15:00:00,0.2071,71.4,1181.85,0.5,0.02
2024-01-04 16:00:00,0.1924,49.45,1215.74,0.5,0.02
2024-01-04 17:00:00,0.2077,33.79,1059.32,0.5,0.02
2024-01-04 18:00:00,0.1784,8.29,870.0,0.5,0.02
2024-01-04 19:00:00,0.178,8.56,828.39,0.5,0.02
2024-01-04 20:00:00,0.1752,9.48,951.98,0.5,0.02
2024-01-04 21:00:00,0.1829,8.25,949.64,0.5,0.02
2024-01-04 22:00:00,0.0961,8.58,799.17,0.5,0.02
2024-01-04 23:00:00,0.1021,9.15,877.38,0.5,0.02
2024-01-05 00:00:00,0.1039,9.16,911.53,0.5,0.02
2024-01-05 01:00:00,0.0966,9.06,835.75,0.5,0.02
2024-01-05 02:00:00,0.0971,9.52,798.34,0.5,0.02
2024-01-05 03:00:00,0.0989,8.34,921.48,0.5,0.02
2024-01-05 04:00:00,0.1017,8.32,950.02,0.5,0.02
2024-01-05 05:00:00,0.0984,8.97,959.88,0.5,0.02
2024-01-05 06:00:00,0.1481,18.31,912.87,0.5,0.02
2024-01-05 07:00:00,0.1525,39.94,919.6,0.5,0.02
2024-01-05 08:00:00,0.1465,57.53,1067.67,0.5,0.02
2024-01-05 09:00:00,0.1551,66.22,1056.35,0.5,0.02
2024-01-05 10:00:00,0.15,76.36,1115.46,0.5,0.02
2024-01-05 11:00:00,0.1429,85.11,1252.37,0.5,0.02
2024-01-05 12:00:00,0.21,84.6,1063.59,0.5,0.02
2024-01-05 13:00:00,0.2095,84.99,1019.21,0.5,0.02
2024-01-05 14:00:00,0.1964,75.65,1104.87,0.5,0.02
2024-01-05 15:00:00,0.1912,70.99,1100.22,0.5,0.02
2024-01-05 16:00:00,0.2076,54.55,1223.01,0.5,0.02
2024-01-05 17:00:00,0.197,33.11,1029.17,0.5,0.02
2024-01-05 18:00:00,0.1729,8.75,920.63,0.5,0.02
2024-01-05 19:00:00,0.1723,8.48,969.2,0.5,0.02
2024-01-05 20:00:00,0.1768,9.78,1022.09,0.5,0.02
2024-01-05 21:00:00,0.1863,8.39,933.94,0.5,0.02
2024-01-05 22:00:00,0.0967,9.79,817.12,0.5,0.02
2024-01-05 23:00:00,0.1027,9.88,993.28,0.5,0.02
2024-01-06 00:00:00,0.0998,8.77,815.06,0.5,0.02
2024-01-06 01:00:00,0.1016,8.62,928.95,0.5,0.02
2024-01-06 02:00:00,0.096,9.63,972.77,0.5,0.02
2024-01-06 03:00:00,0.0965,9.6,862.06,0.5,0.02
2024-01-06 04:00:00,0.0984,9.05,930.45,0.5,0.02
2024-01-06 05:00:00,0.0987,9.3,839.33,0.5,0.02
2024-01-06 06:00:00,0.1543,16.83,815.3,0.5,0.02
2024-01-06 07:00:00,0.1434,39.02,858.02,0.5,0.02
2024-01-06 08:00:00,0.1466,50.76,1063.98,0.5,0.02
2024-01-06 09:00:00,0.1432,66.45,1133.79,0.5,0.02
2024-01-06 10:00:00,0.1541,84.66,1122.58,0.5,0.02
2024-01-06 11:00:00,0.1524,79.8,1136.42,0.5,0.02
2024-01-06 12:00:00,0.2076,88.87,1142.88,0.5,0.02
2024-01-06 13:00:00,0.1903,81.41,1122.71,0.5,0.02
2024-01-06 14:00:00,0.2025,84.79,1144.11,0.5,0.02
2024-01-06 15:00:00,0.1967,72.72,1130.46,0.5,0.02
2024-01-06 16:00:00,0.2069,54.88,1039.13,0.5,0.02
2024-01-06 17:00:00,0.2084,33.5,984.06,0.5,0.02
2024-01-06 18:00:00,0.1879,9.87,909.85,0.5,0.02
2024-01-06 19:00:00,0.1735,9.67,891.38,0.5,0.02
2024-01-06 20:00:00,0.1834,9.94,933.34,0.5,0.02
2024-01-06 21:00:00,0.1835,8.9,883.42,0.5,0.02
2024-01-06 22:00:00,0.1016,9.3,927.33,0.5,0.02
2024-01-06 23:00:00,0.0974,8.88,969.01,0.5,0.02
2024-01-07 00:00:00,0.1043,9.6,956.2,0.5,0.02
2024-01-07 01:00:00,0.0963,9.88,979.46,0.5,0.02
2024-01-07 02:00:00,0.0976,8.27,929.59,0.5,0.02
2024-01-07 03:00:00,0.0994,9.47,804.9,0.5,0.02
2024-01-07 04:00:00,0.0955,9.38,770.13,0.5,0.02
2024-01-07 05:00:00,0.1023,9.42,806.11,0.5,0.02
2024-01-07 06:00:00,0.1438,19.04,803.5,0.5,0.02
2024-01-07 07:00:00,0.151,38.76,996.98,0.5,0.02
2024-01-07 08:00:00,0.1447,54.72,1091.38,0.5,0.02
2024-01-07 09:00:00,0.1494,66.1,1087.46,0.5,0.02
2024-01-07 10:00:00,0.151,75.4,1196.59,0.5,0.02
2024-01-07 11:00:00,0.151,92.74,1170.6,0.5,0.02
2024-01-07 12:00:00,0.197,86.65,1188.33,0.5,0.02
2024-01-07 13:00:00,0.2039,90.72,1053.07,0.5,0.02
2024-01-07 14:00:00,0.2054,83.09,1105.1,0.5,0.02
2024-01-07 15:00:00,0.1983,62.76,1031.92,0.5,0.02
2024-01-07 16:00:00,0.203,56.14,1066.42,0.5,0.02
2024-01-07 17:00:00,0.2092,33.42,1152.2,0.5,0.02
2024-01-07 18:00:00,0.1749,8.49,1007.65,0.5,0.02
2024-01-07 19:00:00,0.1889,9.77,888.36,0.5,0.02
2024-01-07 20:00:00,0.1842,9.01,908.44,0.5,0.02
2024-01-07 21:00:00,0.1767,8.16,837.22,0.5,0.02
2024-01-07 22:00:00,0.0958,8.89,905.14,0.5,0.02
2024-01-07 23:00:00,0.1001,8.88,961.6,0.5,0.02
2024-01-08 00:00:00,0.0962,9.83,809.9,0.5,0.02
2024-01-08 01:00:00,0.1025,8.47,889.31,0.5,0.02
2024-01-08 02:00:00,0.0973,9.73,865.05,0.5,0.02
2024-01-08 03:00:00,0.1047,9.17,945.53,0.5,0.02
2024-01-08 04:00:00,0.1035,9.25,797.99,0.5,0.02
2024-01-08 05:00:00,0.0982,9.11,858.52,0.5,0.02
2024-01-08 06:00:00,0.1549,18.17,835.22,0.5,0.02
2024-01-08 07:00:00,0.1438,33.78,895.77,0.5,0.02
2024-01-08 08:00:00,0.1511,55.72,1170.58,0.5,0.02
2024-01-08 09:00:00,0.1568,67.42,1003.02,0.5,0.02
2024-01-08 10:00:00,0.156,73.45,1112.34,0.5,0.02
2024-01-08 11:00:00,0.1562,91.02,1149.89,0.5,0.02
2024-01-08 12:00:00,0.2032,87.69,1081.46,0.5,0.02
2024-01-08 13:00:00,0.1926,81.95,1013.31,0.5,0.02
2024-01-08 14:00:00,0.1942,86.02,1073.73,0.5,0.02
2024-01-08 15:00:00,0.1958,72.46,1007.58,0.5,0.02
2024-01-08 16:00:00,0.195,50.75,1087.15,0.5,0.02
2024-01-08 17:00:00,0.1921,34.36,1063.41,0.5,0.02
2024-01-08 18:00:00,0.1768,9.41,859.01,0.5,0.02
2024-01-08 19:00:00,0.1803,8.72,926.89,0.5,0.02
2024-01-08 20:00:00,0.1889,8.75,945.47,0.5,0.02
2024-01-08 21:00:00,0.1765,9.65,1002.16,0.5,0.02
2024-01-08 22:00:00,0.0967,9.43,867.23,0.5,0.02
2024-01-08 23:00:00,0.1013,9.72,949.38,0.5,0.02
2024-01-09 00:00:00,0.1028,8.17,829.78,0.5,0.02
2024-01-09 01:00:00,0.1027,9.68,990.9,0.5,0.02
2024-01-09 02:00:00,0.098,8.34,919.09,0.5,0.02
2024-01-09 03:00:00,0.105,8.71,870.69,0.5,0.02
2024-01-09 04:00:00,0.1046,9.72,957.89,0.5,0.02
2024-01-09 05:00:00,0.1032,9.28,862.83,0.5,0.02
2024-01-09 06:00:00,0.1561,17.88,857.39,0.5,0.02
2024-01-09 07:00:00,0.1569,34.85,965.63,0.5,0.02
2024-01-09 08:00:00,0.1552,57.48,1068.11,0.5,0.02
2024-01-09 09:00:00,0.1449,74.59,1195.97,0.5,0.02
2024-01-09 10:00:00,0.1456,75.93,1049.65,0.5,0.02
2024-01-09 11:00:00,0.1439,86.27,1039.96,0.5,0.02
2024-01-09 12:00:00,0.1945,88.84,1166.55,0.5,0.02
2024-01-09 13:00:00,0.1959,88.49,1033.11,0.5,0.02
2024-01-09 14:00:00,0.2024,77.98,1057.91,0.5,0.02
2024-01-09 15:00:00,0.2061,70.04,1136.29,0.5,0.02
2024-01-09 16:00:00,0.1947,59.04,1123.35,0.5,0.02
2024-01-09 17:00:00,0.195,40.35,1033.48,0.5,0.02
2024-01-09 18:00:00,0.176,8.49,1021.3,0.5,0.02
2024-01-09 19:00:00,0.1751,8.84,829.7,0.5,0.02
2024-01-09 20:00:00,0.18,9.46,939.3,0.5,0.02
2024-01-09 21:00:00,0.1724,8.29,891.49,0.5,0.02
2024-01-09 22:00:00,0.0979,8.39,958.53,0.5,0.02
2024-01-09 23:00:00,0.1028,9.14,795.15,0.5,0.02
2024-01-10 00:00:00,0.0975,8.41,861.93,0.5,0.02
2024-01-10 01:00:00,0.0987,8.49,812.33,0.5,0.02
2024-01-10 02:00:00,0.0957,8.75,919.67,0.5,0.02
2024-01-10 03:00:00,0.1027,9.03,922.32,0.5,0.02
2024-01-10 04:00:00,0.0994,8.21,870.2,0.5,0.02
2024-01-10 05:00:00,0.1004,8.65,896.01,0.5,0.02
2024-01-10 06:00:00,0.1573,19.77,855.65,0.5,0.02
2024-01-10 07:00:00,0.1439,33.95,936.52,0.5,0.02
2024-01-10 08:00:00,0.143,54.04,1049.66,0.5,0.02
2024-01-10 09:00:00,0.1537,64.42,1129.75,0.5,0.02
2024-01-10 10:00:00,0.1437,87.05,1148.18,0.5,0.02
2024-01-10 11:00:00,0.1428,85.66,962.7,0.5,0.02
2024-01-10 12:00:00,0.1999,99.24,1144.45,0.5,0.02
2024-01-10 13:00:00,0.1952,83.0,1018.78,0.5,0.02
2024-01-10 14:00:00,0.1909,80.65,1209.24,0.5,0.02
2024-01-10 15:00:00,0.2098,70.6,1048.82,0.5,0.02
2024-01-10 16:00:00,0.1955,58.96,1095.1,0.5,0.02
2024-01-10 17:00:00,0.2009,37.82,1012.56,0.5,0.02
2024-01-10 18:00:00,0.1723,9.81,769.55,0.5,0.02
2024-01-10 19:00:00,0.1813,8.69,875.89,0.5,0.02
2024-01-10 20:00:00,0.1864,8.24,917.83,0.5,0.02
2024-01-10 21:00:00,0.1738,8.2,875.73,0.5,0.02
2024-01-10 22:00:00,0.1001,9.14,976.94,0.5,0.02
2024-01-10 23:00:00,0.0998,8.57,957.65,0.5,0.02
2024-01-11 00:00:00,0.0987,9.04,911.72,0.5,0.02
2024-01-11 01:00:00,0.0983,9.09,897.88,0.5,0.02
2024-01-11 02:00:00,0.0971,8.35,999.78,0.5,0.02
2024-01-11 03:00:00,0.1001,9.87,892.47,0.5,0.02
2024-01-11 04:00:00,0.0999,8.96,971.75,0.5,0.02
2024-01-11 05:00:00,0.0985,8.47,911.64,0.5,0.02
2024-01-11 06:00:00,0.15,18.29,864.04,0.5,0.02
2024-01-11 07:00:00,0.1481,35.5,903.69,0.5,0.02
2024-01-11 08:00:00,0.1559,53.93,997.18,0.5,0.02
2024-01-11 09:00:00,0.1482,66.17,1036.56,0.5,0.02
2024-01-11 10:00:00,0.154,83.55,1115.57,0.5,0.02
2024-01-11 11:00:00,0.1474,89.73,1145.06,0.5,0.02
2024-01-11 12:00:00,0.194,90.89,1207.61,0.5,0.02
2024-01-11 13:00:00,0.1967,80.2,1008.17,0.5,0.02
2024-01-11 14:00:00,0.202,84.63,1065.47,0.5,0.02
2024-01-11 15:00:00,0.2054,70.87,1016.55,0.5,0.02
2024-01-11 16:00:00,0.208,50.03,1161.08,0.5,0.02
2024-01-11 17:00:00,0.1966,39.91,1149.38,0.5,0.02
2024-01-11 18:00:00,0.173,8.5,969.3,0.5,0.02
2024-01-11 19:00:00,0.1845,9.26,969.59,0.5,0.02
2024-01-11 20:00:00,0.1767,8.43,771.2,0.5,0.02
2024-01-11 21:00:00,0.1774,8.71,982.16,0.5,0.02
2024-01-11 22:00:00,0.0952,9.15,798.38,0.5,0.02
2024-01-11 23:00:00,0.1029,8.4,971.58,0.5,0.02
2024-01-12 00:00:00,0.1038,9.38,908.4,0.5,0.02
2024-01-12 01:00:00,0.1,9.87,942.18,0.5,0.02
2024-01-12 02:00:00,0.103,9.41,936.3,0.5,0.02
2024-01-12 03:00:00,0.1004,9.48,963.87,0.5,0.02
2024-01-12 04:00:00,0.1033,8.69,926.95,0.5,0.02
2024-01-12 05:00:00,0.0959,8.6,956.89,0.5,0.02
2024-01-12 06:00:00,0.145,17.34,880.04,0.5,0.02
2024-01-12 07:00:00,0.1434,35.92,923.28,0.5,0.02
2024-01-12 08:00:00,0.1545,51.16,1015.86,0.5,0.02
2024-01-12 09:00:00,0.155,73.91,1059.88,0.5,0.02
2024-01-12 10:00:00,0.1473,86.01,1045.04,0.5,0.02
2024-01-12 11:00:00,0.149,96.23,1200.99,0.5,0.02
2024-01-12 12:00:00,0.2043,98.48,1092.83,0.5,0.02
2024-01-12 13:00:00,0.2087,92.2,1114.5,0.5,0.02
2024-01-12 14:00:00,0.1928,75.51,1182.41,0.5,0.02
2024-01-12 15:00:00,0.2026,62.58,1196.75,0.5,0.02
2024-01-12 16:00:00,0.1902,50.96,999.93,0.5,0.02
2024-01-12 17:00:00,0.2011,36.07,1088.29,0.5,0.02
2024-01-12 18:00:00,0.1782,9.27,1029.94,0.5,0.02
2024-01-12 19:00:00,0.1823,9.5,917.33,0.5,0.02
2024-01-12 20:00:00,0.1718,8.35,1008.18,0.5,0.02
2024-01-12 21:00:00,0.1851,9.5,821.24,0.5,0.02
2024-01-12 22:00:00,0.0992,9.42,928.29,0.5,0.02
2024-01-12 23:00:00,0.1045,8.2,968.62,0.5,0.02
2024-01-13 00:00:00,0.1022,8.24,998.43,0.5,0.02
2024-01-13 01:00:00,0.1004,9.56,954.83,0.5,0.02
2024-01-13 02:00:00,0.1037,9.4,871.1,0.5,0.02
2024-01-13 03:00:00,0.0978,8.59,901.84,0.5,0.02
2024-01-13 04:00:00,0.0981,8.2,865.55,0.5,0.02
2024-01-13 05:00:00,0.1036,8.44,847.29,0.5,0.02
2024-01-13 06:00:00,0.1463,18.01,836.69,0.5,0.02
2024-01-13 07:00:00,0.1512,35.08,978.89,0.5,0.02
2024-01-13 08:00:00,0.1508,54.63,1115.51,0.5,0.02
2024-01-13 09:00:00,0.1484,67.06,1094.9,0.5,0.02
2024-01-13 10:00:00,0.1523,79.98,1087.43,0.5,0.02
2024-01-13 11:00:00,0.1446,82.46,1155.12,0.5,0.02
2024-01-13 12:00:00,0.1956,96.67,1125.37,0.5,0.02
2024-01-13 13:00:00,0.1997,96.74,1148.58,0.5,0.02
2024-01-13 14:00:00,0.1994,77.08,1008.45,0.5,0.02
2024-01-13 15:00:00,0.2057,70.89,1024.4,0.5,0.02
2024-01-13 16:00:00,0.1999,52.34,1033.52,0.5,0.02
2024-01-13 17:00:00,0.2096,36.93,1114.7,0.5,0.02
2024-01-13 18:00:00,0.1873,9.61,958.44,0.5,0.02
2024-01-13 19:00:00,0.1789,8.37,890.58,0.5,0.02
2024-01-13 20:00:00,0.1788,9.98,839.56,0.5,0.02
2024-01-13 21:00:00,0.1881,9.84,799.42,0.5,0.02
2024-01-13 22:00:00,0.0961,9.95,957.8,0.5,0.02
2024-01-13 23:00:00,0.1035,9.38,945.16,0.5,0.02
2024-01-14 00:00:00,0.0958,9.05,844.07,0.5,0.02
2024-01-14 01:00:00,0.0997,9.45,782.77,0.5,0.02
2024-01-14 02:00:00,0.0983,9.32,942.08,0.5,0.02
2024-01-14 03:00:00,0.1014,9.91,956.11,0.5,0.02
2024-01-14 04:00:00,0.1019,9.32,929.67,0.5,0.02
2024-01-14 05:00:00,0.0973,8.34,939.69,0.5,0.02
2024-01-14 06:00:00,0.1497,19.14,1031.82,0.5,0.02
2024-01-14 07:00:00,0.1464,36.05,1014.36,0.5,0.02
2024-01-14 08:00:00,0.1554,55.31,1014.07,0.5,0.02
2024-01-14 09:00:00,0.1555,71.28,1122.69,0.5,0.02
2024-01-14 10:00:00,0.1429,84.15,1156.19,0.5,0.02
2024-01-14 11:00:00,0.1444,83.48,1049.2,0.5,0.02
2024-01-14 12:00:00,0.2027,84.35,1141.26,0.5,0.02
2024-01-14 13:00:00,0.2054,94.09,967.02,0.5,0.02
2024-01-14 14:00:00,0.2042,74.04,1152.69,0.5,0.02
2024-01-14 15:00:00,0.192,65.95,1052.65,0.5,0.02
2024-01-14 16:00:00,0.1917,51.31,976.43,0.5,0.02
2024-01-14 17:00:00,0.201,39.68,1067.8,0.5,0.02
2024-01-14 18:00:00,0.1779,9.45,800.71,0.5,0.02
2024-01-14 19:00:00,0.1773,9.73,866.39,0.5,0.02
2024-01-14 20:00:00,0.1876,9.14,794.65,0.5,0.02
2024-01-14 21:00:00,0.1855,9.58,789.14,0.5,0.02
2024-01-14 22:00:00,0.097,8.62,851.93,0.5,0.02
2024-01-14 23:00:00,0.0962,9.46,850.41,0.5,0.02
2024-01-15 00:00:00,0.1025,9.33,926.06,0.5,0.02
2024-01-15 01:00:00,0.0964,9.17,830.5,0.5,0.02
2024-01-15 02:00:00,0.1042,9.99,866.24,0.5,0.02
2024-01-15 03:00:00,0.1027,9.36,873.06,0.5,0.02
2024-01-15 04:00:00,0.105,9.9,811.57,0.5,0.02
2024-01-15 05:00:00,0.101,9.08,887.57,0.5,0.02
2024-01-15 06:00:00,0.148,16.81,1019.68,0.5,0.02
2024-01-15 07:00:00,0.1454,36.4,999.11,0.5,0.02
2024-01-15 08:00:00,0.1503,59.83,1030.47,0.5,0.02
2024-01-15 09:00:00,0.1552,76.49,1077.15,0.5,0.02
2024-01-15 10:00:00,0.1429,83.78,1137.23,0.5,0.02
2024-01-15 11:00:00,0.1555,95.47,1032.56,0.5,0.02
2024-01-15 12:00:00,0.1935,83.65,1178.95,0.5,0.02
2024-01-15 13:00:00,0.1974,86.43,1065.24,0.5,0.02
2024-01-15 14:00:00,0.1957,79.06,1096.26,0.5,0.02
2024-01-15 15:00:00,0.1919,66.93,1069.98,0.5,0.02
2024-01-15 16:00:00,0.2094,49.49,1013.41,0.5,0.02
2024-01-15 17:00:00,0.2046,36.95,1055.81,0.5,0.02
2024-01-15 18:00:00,0.1713,8.21,930.22,0.5,0.02
2024-01-15 19:00:00,0.182,8.72,820.92,0.5,0.02
2024-01-15 20:00:00,0.1775,9.41,932.69,0.5,0.02
2024-01-15 21:00:00,0.1733,9.3,975.86,0.5,0.02
2024-01-15 22:00:00,0.0975,8.7,972.49,0.5,0.02
2024-01-15 23:00:00,0.1043,8.4,941.71,0.5,0.02
2024-01-16 00:00:00,0.0982,8.43,931.15,0.5,0.02
2024-01-16 01:00:00,0.1003,9.68,866.65,0.5,0.02
2024-01-16 02:00:00,0.1026,9.86,854.68,0.5,0.02
2024-01-16 03:00:00,0.1036,9.58,837.58,0.5,0.02
2024-01-16 04:00:00,0.0964,8.62,1013.66,0.5,0.02
2024-01-16 05:00:00,0.1044,9.06,840.0,0.5,0.02
2024-01-16 06:00:00,0.1572,19.09,777.59,0.5,0.02
2024-01-16 07:00:00,0.1547,36.92,848.92,0.5,0.02
2024-01-16 08:00:00,0.1495,51.54,1136.42,0.5,0.02
2024-01-16 09:00:00,0.1426,63.33,1078.21,0.5,0.02
2024-01-16 10:00:00,0.1507,78.05,1117.99,0.5,0.02
2024-01-16 11:00:00,0.1485,89.56,1104.24,0.5,0.02
2024-01-16 12:00:00,0.1947,84.31,1047.47,0.5,0.02
2024-01-16 13:00:00,0.2018,86.88,1047.11,0.5,0.02
2024-01-16 14:00:00,0.1936,84.93,1106.16,0.5,0.02
2024-01-16 15:00:00,0.2084,63.27,1071.56,0.5,0.02
2024-01-16 16:00:00,0.1957,49.6,1215.12,0.5,0.02
2024-01-16 17:00:00,0.1929,34.04,1176.85,0.5,0.02
2024-01-16 18:00:00,0.1746,9.06,836.35,0.5,0.02
2024-01-16 19:00:00,0.174,9.55,899.86,0.5,0.02
2024-01-16 20:00:00,0.1874,8.72,812.25,0.5,0.02
2024-01-16 21:00:00,0.1732,9.09,910.89,0.5,0.02
2024-01-16 22:00:00,0.101,8.39,907.73,0.5,0.02
2024-01-16 23:00:00,0.1005,8.69,973.6,0.5,0.02
2024-01-17 00:00:00,0.0984,8.74,839.03,0.5,0.02
2024-01-17 01:00:00,0.1023,8.71,863.71,0.5,0.02
2024-01-17 02:00:00,0.0978,8.45,934.83,0.5,0.02
2024-01-17 03:00:00,0.0989,8.63,979.61,0.5,0.02
2024-01-17 04:00:00,0.1002,8.45,907.83,0.5,0.02
2024-01-17 05:00:00,0.099,9.82,944.89,0.5,0.02
2024-01-17 06:00:00,0.1575,16.97,925.07,0.5,0.02
2024-01-17 07:00:00,0.1427,34.27,901.6,0.5,0.02
2024-01-17 08:00:00,0.1441,57.0,1067.54,0.5,0.02
2024-01-17 09:00:00,0.1558,73.73,1103.48,0.5,0.02
2024-01-17 10:00:00,0.1464,73.44,1149.98,0.5,0.02
2024-01-17 11:00:00,0.1427,82.01,1067.27,0.5,0.02
2024-01-17 12:00:00,0.2074,94.61,1228.0,0.5,0.02
2024-01-17 13:00:00,0.2017,85.18,991.32,0.5,0.02
2024-01-17 14:00:00,0.2005,82.32,1061.69,0.5,0.02
2024-01-17 15:00:00,0.1904,74.21,1046.15,0.5,0.02
2024-01-17 16:00:00,0.1909,51.21,1163.52,0.5,0.02
2024-01-17 17:00:00,0.2005,36.96,1099.17,0.5,0.02
2024-01-17 18:00:00,0.1728,8.87,846.41,0.5,0.02
